iter	Passed	Remaining
715	6932	2749
716	6941	2739
717	6950	2729
718	6959	2720
719	6969	2710
720	6978	2700
721	6988	2690
722	6997	2680
723	7006	2670
724	7017	2661
725	7026	2651
726	7035	2641
727	7044	2632
728	7054	2622
729	7063	2612
730	7073	2602
731	7082	2592
732	7091	2583
733	7101	2573
734	7110	2563
735	7119	2553
736	7130	2544
737	7139	2534
738	7148	2524
739	7157	2514
740	7167	2505
741	7176	2495
742	7186	2485
743	7195	2475
744	7204	2466
745	7214	2456
746	7224	2446
747	7233	2437
748	7242	2427
749	7252	2417
750	7261	2407
751	7270	2397
752	7279	2387
753	7289	2378
754	7298	2368
755	7307	2358
756	7317	2348
757	7326	2339
758	7335	2329
759	7344	2319
760	7353	2309
761	7362	2299
762	7371	2289
763	7381	2280
764	7391	2270
765	7400	2260
766	7409	2250
767	7418	2241
768	7427	2231
769	7438	2221
770	7447	2211
771	7456	2202
772	7469	2193
773	7480	2184
774	7492	2175
775	7501	2165
776	7510	2155
777	7519	2145
778	7529	2136
779	7538	2126
780	7547	2116
781	7556	2106
782	7566	2096
783	7578	2087
784	7587	2078
785	7596	2068
786	7605	2058
787	7615	2048
788	7624	2038
789	7633	2029
790	7642	2019
791	7652	2009
792	7662	2000
793	7670	1990
794	7680	1980
795	7689	1970
796	7698	1960
797	7707	1951
798	7716	1941
799	7726	1931
800	7736	1921
801	7745	1912
802	7754	1902
803	7763	1892
804	7772	1882
805	7782	1873
806	7791	1863
807	7801	1853
808	7810	1843
809	7819	1834
810	7828	1824
811	7838	1814
812	7847	1804
813	7856	1795
814	7866	1785
815	7875	1775
816	7884	1766
817	7893	1756
818	7902	1746
819	7912	1736
820	7921	1727
821	7931	1717
822	7940	1707
823	7949	1697
824	7958	1688
825	7968	1678
826	7977	1668
827	7986	1659
828	7996	1649
829	8008	1640
830	8017	1630
831	8027	1620
832	8036	1611
833	8046	1601
834	8055	1591
835	8064	1581
836	8073	1572
837	8082	1562
838	8091	1552
839	8101	1543
840	8110	1533
841	8119	1523
842	8129	1514
843	8139	1504
844	8150	1495
845	8159	1485
846	8169	1475
847	8178	1465
848	8188	1456
849	8197	1446
850	8206	1436
851	8215	1427
852	8224	1417
853	8234	1407
854	8244	1398
855	8253	1388
856	8262	1378
857	8272	1369
858	8281	1359
859	8290	1349
860	8299	1339
861	8309	1330
862	8318	1320
863	8327	1310
864	8337	1301
865	8346	1291
866	8355	1281
867	8364	1272
868	8374	1262
869	8383	1252
870	8398	1243
871	8406	1234
872	8415	1224
873	8425	1214
874	8435	1205
875	8445	1195
876	8454	1185
877	8463	1176
878	8472	1166
879	8481	1156
880	8491	1146
881	8500	1137
882	8509	1127
883	8518	1117
884	8527	1108
885	8536	1098
886	8545	1088
887	8555	1079
888	8564	1069
889	8573	1059
890	8582	1049
891	8591	1040
892	8601	1030
893	8610	1020
894	8619	1011
895	8628	1001
896	8637	991
897	8647	982
898	8657	972
899	8666	962
900	8675	953
901	8685	943
902	8694	933
903	8703	924
904	8713	914
905	8722	904
906	8731	895
907	8740	885
908	8750	876
909	8759	866
910	8769	856
911	8778	847
912	8787	837
913	8796	827
914	8806	818
915	8815	808
916	8824	798
917	8834	789
918	8843	779
919	8853	769
920	8862	760
921	8871	750
922	8880	740
923	8889	731
924	8899	721
925	8909	711
926	8918	702
927	8927	692
928	8936	683
929	8946	673
930	8955	663
931	8964	654
932	8973	644
933	8982	634
934	9000	625
935	9010	616
936	9022	606
937	9031	596
938	9041	587
939	9051	577
940	9062	568
941	9072	558
942	9081	548
943	9091	539
944	9101	529
945	9110	520
946	9119	510
947	9128	500
948	9138	491
949	9150	481
950	9159	471
951	9168	462
952	9177	452
953	9186	442
954	9195	433
955	9204	423
956	9214	414
957	9224	404
958	9233	394
959	9242	385
960	9252	375
961	9262	365
962	9272	356
963	9281	346
964	9290	336
965	9299	327
966	9308	317
967	9317	308
968	9326	298
969	9336	288
970	9345	279
971	9355	269
972	9364	259
973	9373	250
974	9383	240
975	9392	230
976	9401	221
977	9411	211
978	9420	202
979	9430	192
980	9439	182
981	9448	173
982	9457	163
983	9467	153
